DriverNumber,Abbreviation_Race,TeamName_Race,Position_Qualifying,GridPosition_Race,Q1,Q2,Q3,Qualifying_AvgLapTime,Race_AvgLapTime,AvgSpeed,MaxSpeed,AvgThrottle,AvgBrake,AvgRPM,MaxRPM,AvgGear,OnTrack%,Qualifying_AirTemp,Qualifying_Humidity,Qualifying_TrackTemp,Race_AirTemp,Race_Humidity,Race_TrackTemp,EventName,EventYear,RacePosition
33,VER,Red Bull Racing,5.0,5.0,89.579,89.109,88.752,97.75214285714286,99.43338596491228,203.04275862068965,322.0,63.73103448275862,0.2,10193.52058983704,12650.0,4.928825771857065,99.87946756105231,25.069758064516098,53.094354838709634,28.87298387096776,26.27913204062774,52.74653739612209,28.477469990766313,Bahrain Grand Prix,2019,4.0
20,MAG,Haas F1 Team,6.0,6.0,89.532,89.017,88.757,102.2517,101.1400357142857,202.88551724137932,322.0,66.84965517241379,0.2,9987.969901488157,12489.0,4.9897715363655415,99.87938538989984,25.069758064516098,53.094354838709634,28.87298387096776,26.27913204062774,52.74653739612209,28.477469990766313,Bahrain Grand Prix,2019,13.0
55,SAI,McLaren,7.0,7.0,89.528,89.055,88.813,102.61554545454545,100.3045283018868,202.43741403026135,334.0,68.26547455295736,0.22283356258596973,9925.662497766662,12522.0,5.05699481865285,99.87708123812716,25.069758064516098,53.094354838709634,28.87298387096776,26.27913204062774,52.74653739612209,28.477469990766313,Bahrain Grand Prix,2019,19.0
8,GRO,Haas F1 Team,8.0,11.0,89.688,89.249,89.015,104.01527272727272,103.047625,199.94316644113667,300.0,66.0893098782138,0.17726657645466848,9897.424107142857,12651.0,4.945420506912442,99.56764546928481,25.069758064516098,53.094354838709634,28.87298387096776,26.27913204062774,52.74653739612209,28.477469990766313,Bahrain Grand Prix,2019,20.0
7,RAI,Alfa Romeo Racing,9.0,8.0,89.959,89.471,89.022,101.08183333333334,100.15377192982457,202.91609353507565,337.0,64.86932599724896,0.218707015130674,9931.582723340542,12944.0,5.074280485776077,99.87513007284079,25.069758064516098,53.094354838709634,28.87298387096776,26.27913204062774,52.74653739612209,28.477469990766313,Bahrain Grand Prix,2019,7.0
4,NOR,McLaren,10.0,9.0,89.381,89.258,89.043,103.68458333333332,100.12366666666667,202.30178326474623,338.0,67.57064471879286,0.25651577503429357,10037.23147647377,12281.0,5.008861338769397,99.87509107942125,25.069758064516098,53.094354838709634,28.87298387096776,26.27913204062774,52.74653739612209,28.477469990766313,Bahrain Grand Prix,2019,6.0
3,RIC,Renault,11.0,10.0,89.859,89.488,999.0,104.006625,98.80154716981131,200.00273224043715,334.0,64.76639344262296,0.19262295081967212,10005.328725038402,12481.0,4.787431101472847,99.86436846566826,25.069758064516098,53.094354838709634,28.87298387096776,26.27913204062774,52.74653739612209,28.477469990766313,Bahrain Grand Prix,2019,18.0
23,ALB,Toro Rosso,12.0,12.0,89.514,89.513,999.0,101.06469999999999,100.42091228070176,200.24,342.0,66.02620689655173,0.20689655172413793,10190.192376291012,13141.0,4.822514413704425,99.87027139224742,25.069758064516098,53.094354838709634,28.87298387096776,26.27913204062774,52.74653739612209,28.477469990766313,Bahrain Grand Prix,2019,9.0
10,GAS,Red Bull Racing,13.0,13.0,89.9,89.526,999.0,100.935625,100.34015789473685,202.86307053941908,337.0,66.95988934993085,0.1825726141078838,10227.894889783718,12756.0,4.842957366432811,99.86497714997923,25.069758064516098,53.094354838709634,28.87298387096776,26.27913204062774,52.74653739612209,28.477469990766313,Bahrain Grand Prix,2019,8.0
11,PER,Racing Point,14.0,14.0,89.893,89.756,999.0,100.675625,100.43843859649122,200.97808219178083,343.0,66.6986301369863,0.20136986301369864,10165.874258698628,13312.0,4.82163148509103,99.8651102464332,25.069758064516098,53.094354838709634,28.87298387096776,26.27913204062774,52.74653739612209,28.477469990766313,Bahrain Grand Prix,2019,10.0
26,KVY,Toro Rosso,15.0,15.0,89.876,89.854,999.0,100.291,101.12323214285713,203.75244755244756,336.0,68.11468531468532,0.18321678321678322,10218.478344723491,13268.0,4.775229550123685,99.85838665687612,25.069758064516098,53.094354838709634,28.87298387096776,26.27913204062774,52.74653739612209,28.477469990766313,Bahrain Grand Prix,2019,12.0
99,GIO,Alfa Romeo Racing,16.0,16.0,90.026,999.0,999.0,101.47075,100.45428070175439,203.44260027662517,335.0,68.21715076071922,0.19778699861687413,9740.192810051001,12459.0,5.1644483144669735,99.86513123768026,25.069758064516098,53.094354838709634,28.87298387096776,26.27913204062774,52.74653739612209,28.477469990766313,Bahrain Grand Prix,2019,11.0
27,HUL,Renault,17.0,17.0,90.034,999.0,999.0,101.0675,98.5642641509434,203.38121546961327,335.0,67.78867403314918,0.19475138121546962,9933.066563958493,12386.0,4.856178349721328,99.8469561274232,25.069758064516098,53.094354838709634,28.87298387096776,26.27913204062774,52.74653739612209,28.477469990766313,Bahrain Grand Prix,2019,17.0
18,STR,Racing Point,18.0,18.0,90.217,999.0,999.0,100.09025,101.45542857142857,199.33875338753387,336.0,63.65853658536585,0.2086720867208672,10211.480003343224,13284.0,4.72476910861298,99.85885305034242,25.069758064516098,53.094354838709634,28.87298387096776,26.27913204062774,52.74653739612209,28.477469990766313,Bahrain Grand Prix,2019,14.0
63,RUS,Williams,19.0,19.0,91.759,999.0,999.0,100.3926,102.16098214285715,199.44173441734418,328.0,68.44037940379404,0.1937669376693767,9856.578270252325,12719.0,4.822999667994688,99.85463607102066,25.069758064516098,53.094354838709634,28.87298387096776,26.27913204062774,52.74653739612209,28.477469990766313,Bahrain Grand Prix,2019,15.0
88,KUB,Williams,20.0,20.0,91.799,999.0,999.0,100.8736,102.9466,197.9758064516129,329.0,69.41666666666667,0.20026881720430106,9883.826644860988,12481.0,4.74487356900239,99.84787284267954,25.069758064516098,53.094354838709634,28.87298387096776,26.27913204062774,52.74653739612209,28.477469990766313,Bahrain Grand Prix,2019,16.0
