DriverNumber,Abbreviation_Race,TeamName_Race,Position_Qualifying,GridPosition_Race,Q1,Q2,Q3,Qualifying_AvgLapTime,Race_AvgLapTime,AvgSpeed,MaxSpeed,AvgThrottle,AvgBrake,AvgRPM,MaxRPM,AvgGear,OnTrack%,Qualifying_AirTemp,Qualifying_Humidity,Qualifying_TrackTemp,EventName,RacePosition
22,TSU,RB,11.0,11.0,90.481,90.129,999.0,100.862875,98.46828571428571,201.12033195020746,330,63.91009681881051,0.19363762102351315,10264.349511258084,12838,4.74736176627924,100.0,18.00380868024799,49.946855624446414,22.812488928255178,Bahrain Grand Prix,14.0
18,STR,Aston Martin,12.0,12.0,89.965,90.2,999.0,102.52674999999999,98.20978947368421,201.75274725274724,332,63.785714285714285,0.21016483516483517,9744.827844096073,12909,5.329258353708232,100.0,18.00380868024799,49.946855624446414,22.812488928255178,Bahrain Grand Prix,10.0
23,ALB,Williams,13.0,13.0,90.397,90.221,999.0,104.6405,98.51121428571427,201.40027137042063,330,62.33242876526459,0.1994572591587517,9735.1553416934,12966,5.32220278020803,100.0,18.00380868024799,49.946855624446414,22.812488928255178,Bahrain Grand Prix,15.0
3,RIC,RB,14.0,14.0,90.562,90.278,999.0,101.469375,98.45892857142857,203.07361111111112,329,64.92777777777778,0.19583333333333333,10165.2133651087,12472,4.799912455619863,100.0,18.00380868024799,49.946855624446414,22.812488928255178,Bahrain Grand Prix,13.0
20,MAG,Haas F1 Team,15.0,15.0,90.646,90.529,999.0,100.71962500000001,98.44746428571429,203.62758620689655,333,66.80689655172414,0.19310344827586207,9860.654214699158,12583,5.1808940123546865,100.0,18.00380868024799,49.946855624446414,22.812488928255178,Bahrain Grand Prix,12.0
77,BOT,Kick Sauber,16.0,16.0,90.756,999.0,999.0,105.14725,98.50374545454545,199.49368863955118,330,65.8976157082749,0.2061711079943899,9813.372664841761,12603,5.106516832348845,100.0,18.00380868024799,49.946855624446414,22.812488928255178,Bahrain Grand Prix,19.0
24,ZHO,Kick Sauber,17.0,17.0,90.757,999.0,999.0,102.071,98.41966071428571,202.76098901098902,331,66.48351648351648,0.22115384615384615,9840.453585676754,12123,5.1730563393986575,100.0,18.00380868024799,49.946855624446414,22.812488928255178,Bahrain Grand Prix,11.0
2,SAR,Williams,18.0,18.0,90.77,999.0,999.0,104.09,99.32735185185184,204.6875,326,66.15625,0.18478260869565216,9746.239345694592,12345,5.2458013785069415,100.0,18.00380868024799,49.946855624446414,22.812488928255178,Bahrain Grand Prix,20.0
31,OCO,Alpine,19.0,19.0,90.793,999.0,999.0,104.57983333333334,98.86057142857143,201.878954607978,325,68.43741403026135,0.2173314993122421,9997.903968215514,12209,4.93948350210766,100.0,18.00380868024799,49.946855624446414,22.812488928255178,Bahrain Grand Prix,17.0
10,GAS,Alpine,20.0,20.0,90.948,999.0,999.0,102.7355,98.87783928571427,203.5299026425591,326,66.778859527121,0.2114047287899861,10145.5823079159,12500,4.834173045247553,100.0,18.00380868024799,49.946855624446414,22.812488928255178,Bahrain Grand Prix,18.0
